Player,Season,Pos,Pos2,Age,Conf,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ALL_STAR
Andrew Bogut,2017-18,C,F,33,West,LAL,24,5,9.0,0.7,1.0,0.68,0.0,0.0,,0.7,1.0,0.68,0.68,0.1,0.1,1.0,1.1,2.2,3.3,0.6,0.2,0.5,0.8,1.7,1.5,0
Joel Bolomboy,2017-18,PF,F,24,East,MIL,6,0,6.3,0.5,1.0,0.5,0.0,0.2,0.0,0.5,0.8,0.6,0.5,0.5,1.0,0.5,1.0,0.7,1.7,0.0,0.3,0.0,0.3,0.5,1.5,0
Devin Booker,2017-18,SG,G,21,West,PHO,54,54,34.5,8.4,19.5,0.43200000000000005,2.7,7.1,0.38299999999999995,5.7,12.4,0.46,0.501,5.4,6.1,0.878,0.5,4.0,4.5,4.7,0.9,0.3,3.6,3.1,24.9,0
Trevor Booker,2017-18,PF,F,30,West,TOT,68,7,17.0,2.6,5.0,0.516,0.1,0.5,0.242,2.5,4.6,0.545,0.528,1.0,1.4,0.71,1.7,3.0,4.7,1.2,0.4,0.3,0.9,1.8,6.3,0
Trevor Booker,2017-18,PF,F,30,East,BRK,18,6,21.9,4.3,8.3,0.513,0.2,0.7,0.25,4.1,7.7,0.536,0.523,1.3,2.4,0.5579999999999999,2.1,4.5,6.6,2.1,0.4,0.3,1.7,2.4,10.1,0
Trevor Booker,2017-18,PF,F,30,East,PHI,33,0,15.0,1.8,3.3,0.56,0.1,0.2,0.28600000000000003,1.8,3.1,0.578,0.569,1.0,1.2,0.821,1.4,2.3,3.7,0.8,0.5,0.3,0.6,1.5,4.7,0
Trevor Booker,2017-18,PF,F,30,East,IND,17,1,15.8,2.3,4.9,0.46399999999999997,0.2,0.8,0.214,2.1,4.1,0.514,0.48200000000000004,0.6,0.6,0.909,1.9,2.6,4.5,1.0,0.2,0.3,0.5,1.5,5.4,0
Chris Boucher,2017-18,PF,F,25,West,GSW,1,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Avery Bradley,2017-18,SG,G,27,West,TOT,46,46,31.2,5.6,13.6,0.414,1.6,4.4,0.369,4.0,9.2,0.436,0.474,1.4,1.8,0.768,0.5,2.0,2.5,2.0,1.1,0.2,2.2,2.0,14.3,0
Avery Bradley,2017-18,SG,G,27,East,DET,40,40,31.7,5.8,14.3,0.409,1.9,4.9,0.381,4.0,9.4,0.423,0.474,1.5,2.0,0.763,0.5,1.9,2.4,2.1,1.2,0.2,2.3,2.0,15.0,0
Avery Bradley,2017-18,SG,G,27,West,LAC,6,6,27.5,4.3,9.2,0.473,0.2,1.5,0.111,4.2,7.7,0.5429999999999999,0.48200000000000004,0.3,0.3,1.0,0.5,3.2,3.7,1.8,0.8,0.2,1.3,2.0,9.2,0
Tony Bradley,2017-18,C,F,20,West,UTA,9,0,3.2,0.3,1.2,0.273,0.0,0.1,0.0,0.3,1.1,0.3,0.273,0.2,0.2,1.0,0.4,0.8,1.2,0.1,0.0,0.0,0.0,0.1,0.9,0
Corey Brewer,2017-18,SF-SG,F,31,West,TOT,72,18,16.8,2.0,4.4,0.449,0.4,1.5,0.282,1.5,2.9,0.539,0.498,0.9,1.3,0.722,0.6,1.5,2.1,0.9,1.1,0.2,0.7,1.9,5.3,0
Corey Brewer,2017-18,SF,F,31,West,LAL,54,2,12.9,1.4,3.2,0.45299999999999996,0.1,0.8,0.18600000000000003,1.3,2.4,0.5429999999999999,0.47700000000000004,0.6,0.9,0.667,0.4,1.3,1.7,0.8,0.8,0.1,0.7,1.5,3.7,0
Corey Brewer,2017-18,SG,G,31,West,OKC,18,16,28.6,3.6,8.0,0.444,1.3,3.7,0.34299999999999997,2.3,4.3,0.532,0.524,1.7,2.2,0.795,1.1,2.3,3.4,1.3,2.1,0.3,0.6,3.1,10.1,0
